Order ID,Amount,Profit,Quantity
B-25869,86,9,3
B-25870,1385,208,20
B-25871,118,25,4
B-25872,57,27,2
B-25873,1757,455,11
B-25874,124,54,5
B-25875,248,8,2
B-25876,282,14,4
B-25877,1430,609,9
B-25878,1895,672,26
B-25879,57,28,2
B-25880,108,37,2
B-25881,5809,400,23
B-25882,121,19,4
B-25883,404,80,22
B-25884,24,2,4
B-25885,1571,421,13
B-25886,761,139,13
B-25887,2208,240,12
B-25888,887,219,9
B-25889,264,64,12
B-25890,465,207,9
B-25891,243,79,13
B-25892,139,30,3
B-25893,1931,376,32
B-25894,1246,62,3
B-25895,388,93,2
B-25896,755,190,25
B-25897,834,239,17
B-25898,2866,394,24
B-25899,939,41,9
B-25900,365,132,8
B-25901,468,95,10
B-25902,3003,243,23
B-25903,1210,287,26
B-25904,954,143,4
B-25905,152,50,6
B-25906,78,27,3
B-25907,30,11,5
B-25908,179,25,5
B-25909,2233,450,16
B-25910,3574,-265,29
B-25911,40,15,1
B-25912,102,11,6
B-25913,103,21,7
B-25914,585,165,6
B-25915,277,3,1
B-25916,80,26,9
B-25917,100,12,2
B-25918,244,122,5
B-25919,3350,501,23
B-25920,100,7,2
B-25921,325,-67,12
B-25922,52,18,2
B-25923,4836,966,13
B-25924,148,54,2
B-25925,1569,-15,7
B-25926,57,6,5
B-25927,200,7,4
B-25928,147,25,4
B-25929,1678,316,9
B-25930,1397,173,28
B-25931,73,-36,3
B-25932,71,-14,4
B-25933,700,-556,11
B-25934,105,33,6
B-25935,1969,512,10
B-25936,61,25,4
B-25937,1101,352,3
B-25938,120,26,5
B-25939,666,92,9
B-25940,114,7,8
B-25941,177,41,4
B-25942,646,-23,2
B-25943,1907,420,22
B-25944,169,38,3
B-25945,1133,-9,10
B-25946,146,7,2
B-25947,497,68,8
B-25948,152,23,3
B-25949,315,77,8
B-25950,3211,268,45
B-25951,1782,516,29
B-25952,1752,295,31
B-25953,2567,391,37
B-25954,2017,131,20
B-25955,6339,669,46
B-25956,795,67,15
B-25957,1320,62,13
B-25958,465,57,5
B-25959,2268,627,30
